"program_names","program_channel_ids","channel_name"
"Sporten P4 Dalarna","223","P4 Dalarna"
"Sporten P4 Gotland","205","P4 Gotland"
"Sporten P4 Kalmar","201","P4 Kalmar"
"Sporten P4 Skaraborg","208","P4 Skaraborg"
"Sporten P4 Uppland","218","P4 Uppland"
"Sporten P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Sporten P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"Nyheter P4 J<U+00E4>mtland","200","P4 J<U+00E4>mtland"
"Nyheter (Ekot)","83","Unknown channel"
"Nyheter P4 Kalmar","201","P4 Kalmar"
"Nyheter P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Nyheter P4 J<U+00F6>nk<U+00F6>ping","203","P4 J<U+00F6>nk<U+00F6>ping"
"Nyheter P4 V<U+00E4>rmland","204","P4 V<U+00E4>rmland"
"Nyheter P4 Gotland","205","P4 Gotland"
"Nyheter P4 Sjuh<U+00E4>rad","206","P4 Sjuh<U+00E4>rad"
"Nyheter P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"Nyheter P4 Skaraborg","208","P4 Skaraborg"
"Nyheter P4 Norrbotten","209","P4 Norrbotten"
"Nyheter P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"Nyheter P4 Kristianstad","211","P4 Kristianstad"
"Nyheter P4 Stockholm","701","P4 Stockholm"
"Nyheter P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
"Nyheter P4 Blekinge","213","P4 Blekinge"
"Nyheter P4 Kronoberg","214","P4 Kronoberg"
"Nyheter P4 V<U+00E4>sterbotten","215","P4 V<U+00E4>sterbotten"
"Nyheter P4 V<U+00E4>sternorrland","216","P4 V<U+00E4>sternorrland"
"Nyheter P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"Nyheter P4 Uppland","218","P4 Uppland"
"Nyheter P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Nyheter P4 Halland","220","P4 Halland"
"Nyheter P4 <U+00D6>rebro","221","P4 <U+00D6>rebro"
"Nyheter P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"Nyheter P4 Dalarna","223","P4 Dalarna"
"Ekonomiekot","83","Unknown channel"
"Radiosporten","179","P4 Radiosporten"
"Sisu-uutiset","226","SR Sisuradio"
"Morgon i P4 Norrbotten","209","P4 Norrbotten"
"F<U+00F6>rmiddag i P4 Dalarna","223","P4 Dalarna"
"Eftermiddag i P4 V<U+00E4>sternorrland","216","P4 V<U+00E4>sternorrland"
"Eftermiddag i P4 Gotland","205","P4 Gotland"
"F<U+00F6>rmiddag i P4 Norrbotten","209","P4 Norrbotten"
"Eftermiddag i P4 Norrbotten","209","P4 Norrbotten"
"F<U+00F6>rmiddag i P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"F<U+00F6>rmiddag i P4 V<U+00E4>sterbotten","215","P4 V<U+00E4>sterbotten"
"Morgon i P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Eftermiddag i P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"Morgon i P4 Uppland","218","P4 Uppland"
"Morgon i P4 Skaraborg","208","P4 Skaraborg"
"Eftermiddag i P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"F<U+00F6>rmiddag i P4 Skaraborg","208","P4 Skaraborg"
"Eftermiddag i P4 Skaraborg","208","P4 Skaraborg"
"Vetenskapsradions nyheter","406","Unknown channel"
"Vetenskapsradion Historia","132","P1"
"Spr<U+00E5>ket","132","P1"
"Vetandets v<U+00E4>rld","132","P1"
"Vetenskapsradions veckomagasin","132","P1"
"M<U+00E4>nniskor och tro","132","P1"
"Eftermiddag i P4 J<U+00E4>mtland","200","P4 J<U+00E4>mtland"
"Godmorgon, v<U+00E4>rlden!","132","P1"
"Morgon i P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"Kulturnytt","132","P1"
"P4 Live","158","Unknown channel"
"Klartext","158","Unknown channel"
"Romanpriset","132","P1"
"OBS","132","P1"
"Eftermiddag i P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"F<U+00F6>rmiddag i P4 <U+00D6>rebro ","221","P4 <U+00D6>rebro"
"Eftermiddag i P4 <U+00D6>rebro","221","P4 <U+00D6>rebro"
"Spanarna","132","P1"
"Morgon i P4 Blekinge","213","P4 Blekinge"
"F<U+00F6>rmiddag i P4 Blekinge","213","P4 Blekinge"
"Morgon i P4 Stockholm","701","P4 Stockholm"
"Musikplats Stockholm","701","P4 Stockholm"
"Kulturradion special","132","P1"
"Morgon i P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"Filosofiska rummet","132","P1"
"P1 Dokument<U+00E4>r","132","P1"
"Gudstj<U+00E4>nsten","132","P1"
"Meny","132","P1"
"Radioteatern","132","P1"
"Da Capo ","158","Unknown channel"
"Morgon i P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Sisu soi","226","SR Sisuradio"
"Urheiluradio ","226","SR Sisuradio"
"Me<U+00E4>nraatio  ","209","P4 Norrbotten"
"Keski-Ruotsin Sisuradio","226","SR Sisuradio"
"City Sisu  ","226","SR Sisuradio"
"Naturmorgon","132","P1"
"Magiska skrinet: Taikalipas ","226","SR Sisuradio"
"T<U+00E4>hti","226","SR Sisuradio"
"Radiof<U+00F6>ljetongen","132","P1"
"Ring P1 - 099-510 10","132","P1"
"Eftermiddag i P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Ring s<U+00E5> spelar vi","158","Unknown channel"
"Tankar f<U+00F6>r dagen","132","P1"
"Kropp & Sj<U+00E4>l","132","P1"
"Konflikt","132","P1"
"Vetenskapsradion Forum","132","P1"
"P<U+00E5> minuten","132","P1"
"Kaliber","132","P1"
"Catchy & Finska pinnar","226","SR Sisuradio"
"Morgonandakten","132","P1"
"Avg<U+00F6>rande <U+00F6>gonblick","88","Unknown channel"
"Studio Ett","132","P1"
"P3 Nyheter","164","P3"
"P1-morgon","132","P1"
"Odla med P1","132","P1"
"V<U+00E4>der fr<U+00E5>n hela landet","88","Unknown channel"
"Svensktoppen ","158","Unknown channel"
"Morgonpasset i P3","164","P3"
"Dagens dikt","132","P1"
"F<U+00F6>rmiddag i P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"Radio Sweden","166","Radio Sweden P6"
"Eftermiddag i P4 Kronoberg","214","P4 Kronoberg"
"Sl<U+00E4>ktband","132","P1"
"Sommar & Vinter i P1","132","P1"
"Melodikrysset","158","Unknown channel"
"<U+0420><U+0430><U+0434><U+0438><U+043E> <U+0428><U+0432><U+0435><U+0446><U+0438><U+044F>","166","Radio Sweden P6"
"Eftermiddag i P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Radio Schweden","166","Radio Sweden P6"
"Radio Romano","166","Radio Sweden P6"
"P4 Extra ","158","Unknown channel"
"Morgon P4 V<U+00E4>rmland","204","P4 V<U+00E4>rmland"
"Morgon i P4 Kronoberg","214","P4 Kronoberg"
"F<U+00F6>rmiddag i P4 Kronoberg","214","P4 Kronoberg"
"Eftermiddag i P4 Kristianstad","211","P4 Kristianstad"
"F<U+00F6>rmiddag i P4 Halland","220","P4 Halland"
"Raadiyaha Iswiidhen","166","Radio Sweden P6"
"Kalejdoskop","163","P2"
"Radyoya Sw<U+00EA>d<U+00EA> - <U+0695><U+0627><U+062F><U+06CC><U+06C6><U+06CC> <U+0633><U+0648><U+06CC><U+062F>","166","Radio Sweden P6"
"Morgon i P4 Gotland","205","P4 Gotland"
"Eftermiddag i P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
