"program_names","program_channel_ids","channel_name"
"Sporten P4 Dalarna","223","P4 Dalarna"
"Sporten P4 Gotland","205","P4 Gotland"
"Sporten P4 Kalmar","201","P4 Kalmar"
"Sporten P4 Skaraborg","208","P4 Skaraborg"
"Sporten P4 Uppland","218","P4 Uppland"
"Sporten P4 Väst","219","P4 Väst"
"Sporten P4 Västmanland","217","P4 Västmanland"
"Nyheter P4 Jämtland","200","P4 Jämtland"
"Nyheter (Ekot)","83","Unknown channel"
"Nyheter P4 Kalmar","201","P4 Kalmar"
"Nyheter P4 Sörmland","202","P4 Sörmland"
"Nyheter P4 Jönköping","203","P4 Jönköping"
"Nyheter P4 Värmland","204","P4 Värmland"
"Nyheter P4 Gotland","205","P4 Gotland"
"Nyheter P4 Sjuhärad","206","P4 Sjuhärad"
"Nyheter P4 Malmöhus","207","P4 Malmöhus"
"Nyheter P4 Skaraborg","208","P4 Skaraborg"
"Nyheter P4 Norrbotten","209","P4 Norrbotten"
"Nyheter P4 Gävleborg","210","P4 Gävleborg"
"Nyheter P4 Kristianstad","211","P4 Kristianstad"
"Nyheter P4 Stockholm","701","P4 Stockholm"
"Nyheter P4 Göteborg","212","P4 Göteborg"
"Nyheter P4 Blekinge","213","P4 Blekinge"
"Nyheter P4 Kronoberg","214","P4 Kronoberg"
"Nyheter P4 Västerbotten","215","P4 Västerbotten"
"Nyheter P4 Västernorrland","216","P4 Västernorrland"
"Nyheter P4 Västmanland","217","P4 Västmanland"
"Nyheter P4 Uppland","218","P4 Uppland"
"Nyheter P4 Väst","219","P4 Väst"
"Nyheter P4 Halland","220","P4 Halland"
"Nyheter P4 Örebro","221","P4 Örebro"
"Nyheter P4 Östergötland","222","P4 Östergötland"
"Nyheter P4 Dalarna","223","P4 Dalarna"
"Ekonomiekot","83","Unknown channel"
"Radiosporten","179","P4 Radiosporten"
"Sisu-uutiset","226","SR Sisuradio"
"Morgon i P4 Norrbotten","209","P4 Norrbotten"
"Förmiddag i P4 Dalarna","223","P4 Dalarna"
"Eftermiddag i P4 Västernorrland","216","P4 Västernorrland"
"Eftermiddag i P4 Gotland","205","P4 Gotland"
"Förmiddag i P4 Norrbotten","209","P4 Norrbotten"
"Eftermiddag i P4 Norrbotten","209","P4 Norrbotten"
"Förmiddag i P4 Gävleborg","210","P4 Gävleborg"
"Förmiddag i P4 Västerbotten","215","P4 Västerbotten"
"Morgon i P4 Sörmland","202","P4 Sörmland"
"Eftermiddag i P4 Gävleborg","210","P4 Gävleborg"
"Morgon i P4 Uppland","218","P4 Uppland"
"Morgon i P4 Skaraborg","208","P4 Skaraborg"
"Eftermiddag i P4 Malmöhus","207","P4 Malmöhus"
"Förmiddag i P4 Skaraborg","208","P4 Skaraborg"
"Eftermiddag i P4 Skaraborg","208","P4 Skaraborg"
"Vetenskapsradions nyheter","406","Unknown channel"
"Vetenskapsradion Historia","132","P1"
"Språket","132","P1"
"Vetandets värld","132","P1"
"Vetenskapsradions veckomagasin","132","P1"
"Människor och tro","132","P1"
"Eftermiddag i P4 Jämtland","200","P4 Jämtland"
"Godmorgon, världen!","132","P1"
"Morgon i P4 Östergötland","222","P4 Östergötland"
"Kulturnytt","132","P1"
"P4 Live","158","Unknown channel"
"Klartext","158","Unknown channel"
"Romanpriset","132","P1"
"OBS","132","P1"
"Eftermiddag i P4 Östergötland","222","P4 Östergötland"
"Förmiddag i P4 Örebro ","221","P4 Örebro"
"Eftermiddag i P4 Örebro","221","P4 Örebro"
"Spanarna","132","P1"
"Morgon i P4 Blekinge","213","P4 Blekinge"
"Förmiddag i P4 Blekinge","213","P4 Blekinge"
"Morgon i P4 Stockholm","701","P4 Stockholm"
"Musikplats Stockholm","701","P4 Stockholm"
"Kulturradion special","132","P1"
"Morgon i P4 Gävleborg","210","P4 Gävleborg"
"Filosofiska rummet","132","P1"
"P1 Dokumentär","132","P1"
"Gudstjänsten","132","P1"
"Meny","132","P1"
"Radioteatern","132","P1"
"Da Capo ","158","Unknown channel"
"Morgon i P4 Väst","219","P4 Väst"
"Sisu soi","226","SR Sisuradio"
"Urheiluradio ","226","SR Sisuradio"
"Meänraatio  ","209","P4 Norrbotten"
"Keski-Ruotsin Sisuradio","226","SR Sisuradio"
"City Sisu  ","226","SR Sisuradio"
"Naturmorgon","132","P1"
"Magiska skrinet: Taikalipas ","226","SR Sisuradio"
"Tähti","226","SR Sisuradio"
"Radioföljetongen","132","P1"
"Ring P1 - 099-510 10","132","P1"
"Eftermiddag i P4 Sörmland","202","P4 Sörmland"
"Ring så spelar vi","158","Unknown channel"
"Tankar för dagen","132","P1"
"Kropp & Själ","132","P1"
"Konflikt","132","P1"
"Vetenskapsradion Forum","132","P1"
"På minuten","132","P1"
"Kaliber","132","P1"
"Catchy & Finska pinnar","226","SR Sisuradio"
"Morgonandakten","132","P1"
"Avgörande ögonblick","88","Unknown channel"
"Studio Ett","132","P1"
"P3 Nyheter","164","P3"
"P1-morgon","132","P1"
"Odla med P1","132","P1"
"Väder från hela landet","88","Unknown channel"
"Svensktoppen ","158","Unknown channel"
"Morgonpasset i P3","164","P3"
"Dagens dikt","132","P1"
"Förmiddag i P4 Östergötland","222","P4 Östergötland"
"Radio Sweden","166","Radio Sweden P6"
"Eftermiddag i P4 Kronoberg","214","P4 Kronoberg"
"Släktband","132","P1"
"Sommar & Vinter i P1","132","P1"
"Melodikrysset","158","Unknown channel"
"<U+0420><U+0430><U+0434><U+0438><U+043E> <U+0428><U+0432><U+0435><U+0446><U+0438><U+044F>","166","Radio Sweden P6"
"Eftermiddag i P4 Väst","219","P4 Väst"
"Radio Schweden","166","Radio Sweden P6"
"Radio Romano","166","Radio Sweden P6"
"P4 Extra ","158","Unknown channel"
"Morgon P4 Värmland","204","P4 Värmland"
"Morgon i P4 Kronoberg","214","P4 Kronoberg"
"Förmiddag i P4 Kronoberg","214","P4 Kronoberg"
"Eftermiddag i P4 Kristianstad","211","P4 Kristianstad"
"Förmiddag i P4 Halland","220","P4 Halland"
"Raadiyaha Iswiidhen","166","Radio Sweden P6"
"Kalejdoskop","163","P2"
"Radyoya Swêdê - <U+0695><U+0627><U+062F><U+06CC><U+06C6><U+06CC> <U+0633><U+0648><U+06CC><U+062F>","166","Radio Sweden P6"
"Morgon i P4 Gotland","205","P4 Gotland"
"Eftermiddag i P4 Göteborg","212","P4 Göteborg"
"Morgon i P4 Jönköping","203","P4 Jönköping"
"Förmiddag i P4 Jönköping","203","P4 Jönköping"
"Bildoktorn","158","Unknown channel"
"Sameradion & SVT Sápmi","224","SR Sápmi"
"Musikguiden i P3: Rock","164","P3"
"Helgsmål","132","P1"
"Eftermiddag i P4 Jönköping","203","P4 Jönköping"
"Opera i P2","163","P2"
"Förmiddag i P4 Göteborg","212","P4 Göteborg"
"Mammas Nya Kille","164","P3"
"Andliga sånger","132","P1"
"CD-revyn i P2","163","P2"
"Klassisk förmiddag      ","163","P2"
"Rendezvous med Kristjan Saag","163","P2"
"Radio Sweden Persian <U+0631><U+0627><U+062F><U+06CC><U+0648> <U+0633><U+0648><U+0626><U+062F> ","166","Radio Sweden P6"
"Radio Sweden Arabic <U+0631><U+0627><U+062F><U+064A><U+0648> <U+0627><U+0644><U+0633><U+0648><U+064A><U+062F>","166","Radio Sweden P6"
"Huomenta Ruotsi ","226","SR Sisuradio"
"Kohtauspaikka","226","SR Sisuradio"
"Studio Sisu ","226","SR Sisuradio"
"P3 Dokumentär","164","P3"
"Notturno","163","P2"
"Kulttuurisunnuntai ","226","SR Sisuradio"
"Eftermiddag i P4 Västerbotten","215","P4 Västerbotten"
"P3 Din Gata","2576","P3 Din gata"
"Gränslöst","209","P4 Norrbotten"
"Musikguiden i P3: Soul","164","P3"
"Vaken med P3 & P4","158","Unknown channel"
"DigiListan","164","P3"
"Public Service","132","P1"
